Sort,Field Name,Field Alias,Type,Relevant Layer,Metric Type,Version,Version Date
150,HRCN_MID_LOWER_PALR,Hurricane - Mid-Century Lower Mean Global Temperature Projected Annual Loss Rating,String,HRCN,Rating,1.0.0,2-Dec
151,HRCN_MID_LOWER_DELTAR,Hurricane - Mid-Century Lower Mean Global Temperature Delta Rating,String,HRCN,Rating,1.0.0,2-Dec
152,HRCN_MID_HIGHER_HM,Hurricane - Mid-Century Higher Mean Global Temperature Hazard Multiplier,Double,HRCN,Value,1.0.0,2-Dec
153,HRCN_MID_HIGHER_PRISKS,Hurricane - Mid-Century Higher Mean Global Temperature Projected Risk Index Score,Double,HRCN,Score,1.0.0,2-Dec
154,HRCN_MID_HIGHER_PRISKR,Hurricane - Mid-Century Higher Mean Global Temperature Projected Risk Rating,String,HRCN,Rating,1.0.0,2-Dec
155,HRCN_MID_HIGHER_PALR,Hurricane- Mid-Century Higher Mean Global Temperature Projected Annual Loss Rating,String,HRCN,Rating,1.0.0,2-Dec
156,HRCN_MID_HIGHER_DELTAR,Hurricane - Mid-Century Higher Mean Global Temperature Delta Rating,String,HRCN,Rating,1.0.0,2-Dec
157,HRCN_LATE_LOWER_HM,Hurricane - Late-Century Lower Mean Global Temperature Hazard Multiplier,Double,HRCN,Value,1.0.0,2-Dec
158,HRCN_LATE_LOWER_PRISKS,Hurricane - Late-Century Lower Mean Global Temperature Projected Risk Index Score,Double,HRCN,Score,1.0.0,2-Dec
159,HRCN_LATE_LOWER_PRISKR,Hurricane - Late-Century Lower Mean Global Temperature Projected Risk Rating,String,HRCN,Rating,1.0.0,2-Dec
160,HRCN_LATE_LOWER_PALR,Hurricane - Late-Century Lower Mean Global Temperature Projected Annual Loss Rating,String,HRCN,Rating,1.0.0,2-Dec
161,HRCN_LATE_LOWER_DELTAR,Hurricane - Late-Century Lower Mean Global Temperature Delta Rating,String,HRCN,Rating,1.0.0,2-Dec
162,HRCN_LATE_HIGHER_HM,Hurricane - Late-Century Higher Mean Global Temperature Hazard Multiplier,Double,HRCN,Value,1.0.0,2-Dec
163,HRCN_LATE_HIGHER_PRISKS,Hurricane - Late-Century Higher Mean Global Temperature Projected Risk Index Score,Double,HRCN,Score,1.0.0,2-Dec
164,HRCN_LATE_HIGHER_PRISKR,Hurricane - Late-Century Higher Mean Global Temperature Projected Risk Rating,String,HRCN,Rating,1.0.0,2-Dec
165,HRCN_LATE_HIGHER_PALR,Hurricane - Late-Century Higher Mean Global Temperature Projected Annual Loss Rating,String,HRCN,Rating,1.0.0,2-Dec
166,HRCN_LATE_HIGHER_DELTAR,Hurricane - Late-Century Higher Mean Global Temperature Delta Rating,String,HRCN,Rating,1.0.0,2-Dec
167,WFIR_EALT,Wildfire - Expected Annual Loss - Total,Double,WFIR,Value,1.0.0,2-Dec
168,WFIR_EALR,Wildfire - Expected Annual Loss Rating,Double,WFIR,Rating,1.0.0,2-Dec
169,WFIR_RISKV,Wildfire - Hazard Type Risk Index Value,String,WFIR,Value,1.0.0,2-Dec
170,WFIR_RISKR,Wildfire - Hazard Type Risk Index Rating,String,WFIR,Rating,1.0.0,2-Dec
,WFIR_RISKS,Wildfire - Hazard Type Risk Index Score,Double,WFIR,Score,1.0.0,2-Dec
167,WFIR_MID_LOWER_HM,Wildfire - Mid-Century Lower Mean Global Temperature Hazard Multiplier,Double,WFIR,Value,1.0.0,2-Dec
168,WFIR_MID_LOWER_PRISKS,Wildfire - Mid-Century Lower Mean Global Temperature Projected Risk Index Score,Double,WFIR,Score,1.0.0,2-Dec
169,WFIR_MID_LOWER_PRISKR,Wildfire - Mid-Century Lower Mean Global Temperature Projected Risk Rating,String,WFIR,Rating,1.0.0,2-Dec
170,WFIR_MID_LOWER_PALR,Wildfire - Mid-Century Lower Mean Global Temperature Projected Annual Loss Rating,String,WFIR,Rating,1.0.0,2-Dec
171,WFIR_MID_LOWER_DELTAR,Wildfire - Mid-Century Lower Mean Global Temperature Delta Rating,String,WFIR,Rating,1.0.0,2-Dec
172,WFIR_MID_HIGHER_HM,Wildfire - Mid-Century Higher Mean Global Temperature Hazard Multiplier,Double,WFIR,Value,1.0.0,2-Dec
173,WFIR_MID_HIGHER_PRISKS,Wildfire - Mid-Century Higher Mean Global Temperature Projected Risk Index Score,Double,WFIR,Score,1.0.0,2-Dec
174,WFIR_MID_HIGHER_PRISKR,Wildfire - Mid-Century Higher Mean Global Temperature Projected Risk Rating,String,WFIR,Rating,1.0.0,2-Dec
175,WFIR_MID_HIGHER_PALR,Wildfire- Mid-Century Higher Mean Global Temperature Projected Annual Loss Rating,String,WFIR,Rating,1.0.0,2-Dec
176,WFIR_MID_HIGHER_DELTAR,Wildfire - Mid-Century Higher Mean Global Temperature Delta Rating,String,WFIR,Rating,1.0.0,2-Dec
177,WFIR_LATE_LOWER_HM,Wildfire - Late-Century Lower Mean Global Temperature Hazard Multiplier,Double,WFIR,Value,1.0.0,2-Dec
178,WFIR_LATE_LOWER_PRISKS,Wildfire - Late-Century Lower Mean Global Temperature Projected Risk Index Score,Double,WFIR,Score,1.0.0,2-Dec
