Date,Close,Growth
2/28/2019,32.85,1.933035714
3/1/2019,33.32,1.975
3/4/2019,33.23,1.966964286
3/5/2019,33.62,2.001785714
3/6/2019,33.38,1.980357143
3/7/2019,33.25,1.96875
3/8/2019,33.34,1.976785714
3/11/2019,33.98,2.033928571
3/12/2019,34.2,2.053571429
3/13/2019,34.49,2.079464286
3/14/2019,34.18,2.051785714
3/15/2019,34.25,2.058035714
3/18/2019,34.12,2.046428571
3/19/2019,33.98,2.033928571
3/20/2019,33.35,1.977678571
3/21/2019,33.72,2.010714286
3/22/2019,32.6,1.910714286
3/25/2019,32.58,1.908928571
3/26/2019,32.61,1.911607143
3/27/2019,32.74,1.923214286
3/28/2019,32.8,1.928571429
3/29/2019,32.85,1.933035714
4/1/2019,33.52,1.992857143
4/2/2019,33.51,1.991964286
4/3/2019,33.45,1.986607143
4/4/2019,33.56,1.996428571
4/5/2019,33.56,1.996428571
4/8/2019,33.57,1.997321429
4/9/2019,33.26,1.969642857
4/10/2019,33.8,2.017857143
4/11/2019,33.9,2.026785714
4/12/2019,34.01,2.036607143
4/15/2019,33.69,2.008035714
4/16/2019,33.95,2.03125
4/17/2019,33.88,2.025
4/18/2019,33.64,2.003571429
4/22/2019,32.94,1.941071429
4/23/2019,33.02,1.948214286
4/24/2019,33.1,1.955357143
4/25/2019,32.53,1.904464286
4/26/2019,33.08,1.953571429
4/29/2019,33.15,1.959821429
4/30/2019,33.15,1.959821429
5/1/2019,33.24,1.967857143
5/2/2019,32.87,1.934821429
5/3/2019,33.62,2.001785714
5/6/2019,34.34,2.066071429
5/7/2019,32.85,1.933035714
5/8/2019,34.3,2.0625
5/9/2019,34.8,2.107142857
5/10/2019,33.72,2.010714286
5/13/2019,32.67,1.916964286
5/14/2019,33.27,1.970535714
5/15/2019,33.78,2.016071429
5/16/2019,34.16,2.05
5/17/2019,34.43,2.074107143
5/20/2019,34.71,2.099107143
5/21/2019,34.6,2.089285714
5/22/2019,34.6,2.089285714
5/23/2019,34.02,2.0375
5/24/2019,33.95,2.03125
5/28/2019,33.52,1.992857143
5/29/2019,31.68,1.828571429
5/30/2019,32.2,1.875
5/31/2019,31.82,1.841071429
6/3/2019,31.86,1.844642857
6/4/2019,32.84,1.932142857
6/5/2019,32.64,1.914285714
6/6/2019,33.07,1.952678571
6/7/2019,32.49,1.900892857
6/10/2019,32.22,1.876785714
