fips,name,pop
13319,"Wilkinson County, Georgia",8945
13321,"Worth County, Georgia",20346
15001,"Hawaii County, Hawaii",201350
15003,"Honolulu County, Hawaii",979682
15005,"Kalawao County, Hawaii",436
15007,"Kauai County, Hawaii",71949
15009,"Maui County, Hawaii",166657
16001,"Ada County, Idaho",469473
16003,"Adams County, Idaho",4200
16005,"Bannock County, Idaho",86742
16007,"Bear Lake County, Idaho",6054
16009,"Benewah County, Idaho",9231
16011,"Bingham County, Idaho",46246
16013,"Blaine County, Idaho",22729
16015,"Boise County, Idaho",7625
16017,"Bonner County, Idaho",44688
16019,"Bonneville County, Idaho",116970
16021,"Boundary County, Idaho",12156
16023,"Butte County, Idaho",2603
16025,"Camas County, Idaho",1069
16027,"Canyon County, Idaho",223890
16029,"Caribou County, Idaho",7028
16031,"Cassia County, Idaho",23847
16033,"Clark County, Idaho",885
16035,"Clearwater County, Idaho",8735
16037,"Custer County, Idaho",4193
16039,"Elmore County, Idaho",27043
16041,"Franklin County, Idaho",13736
16043,"Fremont County, Idaho",13111
16045,"Gem County, Idaho",17771
16047,"Gooding County, Idaho",15280
16049,"Idaho County, Idaho",16511
16051,"Jefferson County, Idaho",29238
16053,"Jerome County, Idaho",24074
16055,"Kootenai County, Idaho",161676
16057,"Latah County, Idaho",40052
16059,"Lemhi County, Idaho",7929
16061,"Lewis County, Idaho",3850
16063,"Lincoln County, Idaho",5342
16065,"Madison County, Idaho",39725
16067,"Minidoka County, Idaho",20817
16069,"Nez Perce County, Idaho",40468
16071,"Oneida County, Idaho",4429
16073,"Owyhee County, Idaho",11724
16075,"Payette County, Idaho",23705
16077,"Power County, Idaho",7635
16079,"Shoshone County, Idaho",12700
16081,"Teton County, Idaho",11776
16083,"Twin Falls County, Idaho",86198
16085,"Valley County, Idaho",11085
16087,"Washington County, Idaho",10128
17001,"Adams County, Illinois",65670
17003,"Alexander County, Illinois",6011
17005,"Bond County, Illinois",16520
17007,"Boone County, Illinois",53293
17009,"Brown County, Illinois",6599
17011,"Bureau County, Illinois",32878
17013,"Calhoun County, Illinois",4782
17015,"Carroll County, Illinois",14398
17017,"Cass County, Illinois",12324
17019,"Champaign County, Illinois",210006
17021,"Christian County, Illinois",32705
17023,"Clark County, Illinois",15602
17025,"Clay County, Illinois",13217
17027,"Clinton County, Illinois",37549
17029,"Coles County, Illinois",51065
17031,"Cook County, Illinois",5169517
17033,"Crawford County, Illinois",18833
17035,"Cumberland County, Illinois",10787
17037,"DeKalb County, Illinois",104588
17039,"De Witt County, Illinois",15764
17041,"Douglas County, Illinois",19551
17043,"DuPage County, Illinois",926005
17045,"Edgar County, Illinois",17272
17047,"Edwards County, Illinois",6431
17049,"Effingham County, Illinois",34151
17051,"Fayette County, Illinois",21418
17053,"Ford County, Illinois",13155
17055,"Franklin County, Illinois",38688
17057,"Fulton County, Illinois",34654
17059,"Gallatin County, Illinois",4983
17061,"Greene County, Illinois",12988
17063,"Grundy County, Illinois",50798
17065,"Hamilton County, Illinois",8151
17067,"Hancock County, Illinois",17820
17069,"Hardin County, Illinois",3890
17071,"Henderson County, Illinois",6737
17073,"Henry County, Illinois",49032
17075,"Iroquois County, Illinois",27437
17077,"Jackson County, Illinois",57517
17079,"Jasper County, Illinois",9547
17081,"Jefferson County, Illinois",37774
17083,"Jersey County, Illinois",21776
17085,"Jo Daviess County, Illinois",21429
17087,"Johnson County, Illinois",12391
17089,"Kane County, Illinois",531756
17091,"Kankakee County, Illinois",109924
17093,"Kendall County, Illinois",127583
17095,"Knox County, Illinois",50052
17097,"Lake County, Illinois",699682
17099,"LaSalle County, Illinois",108998
17101,"Lawrence County, Illinois",15830
17103,"Lee County, Illinois",34204
17105,"Livingston County, Illinois",35757
17107,"Logan County, Illinois",28818
17109,"McDonough County, Illinois",30107
17111,"McHenry County, Illinois",307291
17113,"McLean County, Illinois",172164
17115,"Macon County, Illinois",104688
17117,"Macoupin County, Illinois",45243
17119,"Madison County, Illinois",264403
17121,"Marion County, Illinois",37524
17123,"Marshall County, Illinois",11562
17125,"Mason County, Illinois",13486
17127,"Massac County, Illinois",14041
17129,"Menard County, Illinois",12261
17131,"Mercer County, Illinois",15503
17133,"Monroe County, Illinois",34444
17135,"Montgomery County, Illinois",28598
17137,"Morgan County, Illinois",34012
17139,"Moultrie County, Illinois",14557
17141,"Ogle County, Illinois",50793
17143,"Peoria County, Illinois",181111
17145,"Perry County, Illinois",21092
17147,"Piatt County, Illinois",16412
17149,"Pike County, Illinois",15571
17151,"Pope County, Illinois",4177
17153,"Pulaski County, Illinois",5414
17155,"Putnam County, Illinois",5720
17157,"Randolph County, Illinois",31973
17159,"Richland County, Illinois",15677
17161,"Rock Island County, Illinois",142801
